support,pattern
18,"[69, 18, 43]"
17,"[69, 18, 65]"
21,"[69, 18, 63]"
37,"[69, 55]"
20,"[69, 55, 54]"
23,"[69, 55, 20]"
21,"[69, 55, 27]"
27,"[69, 55, 17]"
26,"[69, 55, 29]"
33,"[69, 55, 69]"
34,"[69, 55, 70]"
23,"[69, 55, 48]"
23,"[69, 55, 0]"
21,"[69, 55, 55]"
17,"[69, 55, 49]"
18,"[69, 55, 4]"
19,"[69, 55, 6]"
19,"[69, 55, 33]"
18,"[69, 55, 25]"
16,"[69, 55, 42]"
47,"[69, 20]"
37,"[69, 20, 37]"
35,"[69, 20, 26]"
32,"[69, 20, 50]"
28,"[69, 20, 32]"
29,"[69, 20, 18]"
28,"[69, 20, 8]"
34,"[69, 20, 27]"
44,"[69, 20, 17]"
39,"[69, 20, 29]"
39,"[69, 20, 69]"
46,"[69, 20, 70]"
43,"[69, 20, 48]"
38,"[69, 20, 0]"
31,"[69, 20, 55]"
40,"[69, 20, 54]"
34,"[69, 20, 49]"
24,"[69, 20, 10]"
25,"[69, 20, 56]"
28,"[69, 20, 35]"
26,"[69, 20, 58]"
28,"[69, 20, 60]"
27,"[69, 20, 4]"
23,"[69, 20, 3]"
34,"[69, 20, 6]"
16,"[69, 20, 7]"
25,"[69, 20, 34]"
29,"[69, 20, 33]"
39,"[69, 20, 28]"
42,"[69, 20, 25]"
30,"[69, 20, 20]"
20,"[69, 20, 13]"
19,"[69, 20, 53]"
25,"[69, 20, 42]"
23,"[69, 20, 12]"
21,"[69, 20, 51]"
19,"[69, 20, 36]"
16,"[69, 20, 63]"
39,"[69, 37]"
31,"[69, 37, 26]"
27,"[69, 37, 50]"
25,"[69, 37, 32]"
24,"[69, 37, 18]"
23,"[69, 37, 8]"
32,"[69, 37, 27]"
38,"[69, 37, 17]"
36,"[69, 37, 29]"
35,"[69, 37, 69]"
38,"[69, 37, 70]"
31,"[69, 37, 48]"
33,"[69, 37, 0]"
29,"[69, 37, 55]"
31,"[69, 37, 54]"
25,"[69, 37, 49]"
19,"[69, 37, 10]"
22,"[69, 37, 56]"
19,"[69, 37, 35]"
18,"[69, 37, 58]"
28,"[69, 37, 60]"
25,"[69, 37, 4]"
17,"[69, 37, 3]"
31,"[69, 37, 6]"
19,"[69, 37, 34]"
24,"[69, 37, 33]"
27,"[69, 37, 28]"
28,"[69, 37, 25]"
24,"[69, 37, 20]"
18,"[69, 37, 13]"
16,"[69, 37, 53]"
17,"[69, 37, 37]"
20,"[69, 37, 42]"
18,"[69, 37, 12]"
19,"[69, 37, 51]"
17,"[69, 37, 36]"
39,"[69, 26]"
30,"[69, 26, 50]"
21,"[69, 26, 32]"
21,"[69, 26, 18]"
21,"[69, 26, 8]"
27,"[69, 26, 27]"
36,"[69, 26, 17]"
31,"[69, 26, 29]"
31,"[69, 26, 69]"
36,"[69, 26, 70]"
34,"[69, 26, 48]"
30,"[69, 26, 0]"
28,"[69, 26, 55]"
28,"[69, 26, 54]"
24,"[69, 26, 49]"
17,"[69, 26, 10]"
19,"[69, 26, 56]"
16,"[69, 26, 35]"
18,"[69, 26, 60]"
25,"[69, 26, 4]"
18,"[69, 26, 3]"
29,"[69, 26, 6]"
18,"[69, 26, 34]"
23,"[69, 26, 33]"
27,"[69, 26, 28]"
27,"[69, 26, 25]"
23,"[69, 26, 20]"
